temperature_K,bias_V,anode_conduction_current_A,operating_regime,note
253,450,-5.049e-10,stable,abs_current_below_1uA
253,470,-3.659e-09,stable,abs_current_below_1uA
253,490,-3.977e-11,stable,abs_current_below_1uA
253,510,-8.000e-11,stable,abs_current_below_1uA
253,530,-5.055e-11,stable,abs_current_below_1uA
253,550,-3.796e-10,stable,abs_current_below_1uA
253,570,-1.089e-01,breakdown,abs_current_at_or_above_1mA
253,590,-1.308e-01,breakdown,abs_current_at_or_above_1mA
253,610,-1.528e-01,breakdown,abs_current_at_or_above_1mA
300,450,-2.231e-08,stable,abs_current_below_1uA
300,470,-3.398e-08,stable,abs_current_below_1uA
300,490,-6.815e-08,stable,abs_current_below_1uA
300,510,-6.200e-06,transition,abs_current_between_1uA_and_1mA
300,530,-2.191e-02,breakdown,abs_current_at_or_above_1mA
300,550,-4.167e-02,breakdown,abs_current_at_or_above_1mA
300,570,-7.297e-06,transition,abs_current_between_1uA_and_1mA_branch_sensitive
300,590,-8.118e-02,breakdown,abs_current_at_or_above_1mA
300,610,-1.010e-01,breakdown,abs_current_at_or_above_1mA
