temperature_K,bias_V,map,max_field_V_per_cm,max_eAlpha_cm-1,max_hAlpha_cm-1,center_full_electron_gain,primary_charge_MPV_fC,full_collection_charge_MPV_fC,full_collection_charge_median_fC,effective_multiplication_median,electron_active_drift_median_ps,hole_active_drift_median_ps,events
253.0,450.0,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V450/n590_T253_V450_map.csv,381195.1899129722,35702.40628068391,5525.83539054558,8.95990506978554,0.5551401531233937,4.730992463602543,5.580766315650855,8.864037627843782,435.0774040650681,278.5419254127481,10000
253.0,470.0,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V470/n590_T253_V470_map.csv,385323.1996705694,37244.92801206082,5930.128891113572,9.892742584300452,0.5551401531233937,5.223365977020942,6.160025055847395,9.785520334884172,434.37728836004726,277.2894414166019,10000
253.0,490.0,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V490/n590_T253_V490_map.csv,389450.9255286411,39183.55990234403,6378.164578175425,11.487953991352082,0.5551401531233937,6.065344224055102,7.151985685610347,11.36123657135477,433.74722218303333,275.99714930541586,10000
253.0,510.0,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V510/n590_T253_V510_map.csv,393578.5117861093,40396.62278212286,6789.433394603127,12.663012272806927,0.5551401531233937,6.685562462552253,7.881978780902777,12.521975521032573,433.1079641709447,274.9727453234066,10000
253.0,530.0,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V530/n590_T253_V530_map.csv,397706.0384759943,42422.4528652326,7247.086489929325,14.418982406334578,0.5551401531233937,7.6123871804903995,8.972342392476694,14.256450553901026,432.56785968410577,273.966971685663,10000
253.0,550.0,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V550/n590_T253_V550_map.csv,401833.5410136104,43982.47121490989,7700.125857146068,16.037123617928664,0.5551401531233937,8.466462831286519,9.977221074097383,15.854816054917377,432.04523914948714,273.1034910449026,10000
253.0,570.0,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V570/n590_T253_V570_map.csv,385019.9322502805,37127.51429606249,5903.426767549482,10.014066338619525,0.5551401531233937,5.2867006332986,6.234860851816708,9.904501945550088,431.11878072149125,271.84677629482155,10000
253.0,590.0,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V590/n590_T253_V590_map.csv,384983.1692721138,37113.6135920157,5899.826987298808,10.019877026142797,0.5551401531233937,5.287330492373712,6.2359879134306,9.906217487946627,430.7138803490452,271.04289963021813,10000
253.0,610.0,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V610/n590_T253_V610_map.csv,384949.0944873897,37100.73464574105,5896.485448821824,10.03619013787102,0.5551401531233937,5.288217279230863,6.237987238213124,9.90957998667802,430.34457831546376,270.31311773000897,10000
300.0,450.0,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V450/n590_T300_V450_map.csv,381182.9019727259,32700.76533736389,4838.549427293531,7.343705189925644,0.5551401531233937,3.8779248046536274,4.576403312555543,7.2675160347860945,479.7079858791992,312.0532874180059,10000
300.0,470.0,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V470/n590_T300_V470_map.csv,385311.3607933015,34186.29730134588,5210.482838471414,8.116637836511888,0.5551401531233937,4.285897471578865,5.056982301567514,8.031045705382834,478.94560428441855,310.2150615900467,10000
300.0,490.0,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V490/n590_T300_V490_map.csv,389439.4078322008,35696.41802662879,5599.087345227988,8.979010902181379,0.5551401531233937,4.741078187874605,5.592653445090464,8.882923178686006,478.2382671460806,308.5543984999814,10000
300.0,510.0,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V510/n590_T300_V510_map.csv,393565.8695748285,37229.36342250279,6004.839304455059,9.855931398403323,0.5551401531233937,5.203946228138123,6.137135794827581,9.749228021223265,477.55955014663533,307.12649855933734,10000
300.0,530.0,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V530/n590_T300_V530_map.csv,392993.8849729107,37012.96475489925,5950.541908846847,9.86243009225872,0.5551401531233937,5.207408930748901,6.141620855584156,9.755896971086601,476.89038485185955,305.4908122713434,10000
300.0,550.0,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V550/n590_T300_V550_map.csv,392905.7352815367,36979.61543076017,5942.081348035426,9.865448108448732,0.5551401531233937,5.208997527030627,6.143503426320036,9.758892323804503,476.3871308899859,303.9547910384739,10000
300.0,570.0,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V570/n590_T300_V570_map.csv,393566.2892570486,37229.49519112865,6004.913790355004,9.85527561416513,0.5551401531233937,5.20360056021988,6.13672852653035,9.74858332739681,477.5584077309419,307.1298092169462,10000
300.0,590.0,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V590/n590_T300_V590_map.csv,392794.4332015836,36937.73516216301,5931.339783629533,9.869679718019297,0.5551401531233937,5.210835428124117,6.145745345757396,9.762457239425839,475.17766337276106,301.38095197837276,10000
300.0,610.0,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T300_V610/n590_T300_V610_map.csv,392751.34771241,36921.53968268276,5927.163577161941,9.873726966996841,0.5551401531233937,5.211562341065323,6.146834527762898,9.764151411286072,474.60485979892496,300.27480118001273,10000
